revision;totalFiles;nonJavaFiles;nonJavaEqualFiles;nonJavaMergedFiles;nonJavaFilesConfs;javaFiles;javaEqualFiles;javaMergedFiles;badParsedFiles;javaFilesConfsSS;javaFilesConfsUN;javaEqualConfs;mergeTime
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_e359bc6_3e854d0/rev_e359bc6-3e854d0.revisions;675;537;0;537;0;138;138;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_8dee258_9db49f8/rev_8dee258-9db49f8.revisions;136;118;0;118;0;18;18;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_230a017_5ebaa67/rev_230a017-5ebaa67.revisions;675;537;0;537;0;138;138;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_4ebb8d2_310c5d2/rev_4ebb8d2-310c5d2.revisions;133;118;0;118;0;15;15;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_2505423_3f95978/rev_2505423-3f95978.revisions;700;562;0;562;0;138;138;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_2d4aa40_b8361df/rev_2d4aa40-b8361df.revisions;126;106;0;106;0;20;17;0;3;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_4b8ecf5_75060fd/rev_4b8ecf5-75060fd.revisions;700;562;0;562;0;138;138;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_2d4aa40_e8cad1a/rev_2d4aa40-e8cad1a.revisions;124;106;0;106;0;18;18;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_e61e460_7f29852/rev_e61e460-7f29852.revisions;702;564;0;564;0;138;138;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_16d5e33_fde532f/rev_16d5e33-fde532f.revisions;124;106;0;106;0;18;18;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_9c96c07_a31be92/rev_9c96c07-a31be92.revisions;736;571;0;571;0;165;165;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_9a7246d_33aaa49/rev_9a7246d-33aaa49.revisions;127;107;0;107;0;20;20;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_6540165_fdc601e/rev_6540165-fdc601e.revisions;736;571;0;571;0;165;165;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_ad88b46_67ac47c/rev_ad88b46-67ac47c.revisions;127;107;0;107;0;20;20;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_0049733_c1a2df4/rev_0049733-c1a2df4.revisions;737;572;0;572;0;165;165;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_361d57e_8b25d55/rev_361d57e-8b25d55.revisions;127;107;0;107;0;20;20;0;0;0;0;0;0
